site_id,site_name,latitude,longitude,altitude,state,county,city,land_use,location_setting,owning_agency,established_date,closed_date,address,zip_code,area_classification
040134011,BUCKEYE,33.36985,-112.62068,258.0,Arizona,Maricopa,Buckeye,AGRICULTURAL,RURAL,Maricopa County Air Quality,2004-08-01,,26453 W. MC85,85326.0,rural
040134015,FISHER #1,33.4133,-112.02093,341.0,Arizona,Maricopa,Phoenix,COMMERCIAL,URBAN AND CENTER CITY,Maricopa County Air Quality,2009-07-17,,3615 South 28th St,85040.0,urban-centre
040134016,Zuni Hills,33.68719,-112.29416,386.0,Arizona,Maricopa,Not in a City,RESIDENTIAL,SUBURBAN,Maricopa County Air Quality,2009-11-18,,"10851 W Williams Rd, Sun City AZ",85373.0,urban-periphery
040134017,040134017,33.68451,-112.08634,449.0,Arizona,Maricopa,Phoenix,COMMERCIAL,SUBURBAN,Maricopa County Air Quality,2010-06-20,,1030 West Deer Valley Road,85027.0,urban-periphery
040134020,Thirty-Third,33.46173,-112.12796,326.0,Arizona,Maricopa,Phoenix,RESIDENTIAL,URBAN AND CENTER CITY,Maricopa County Air Quality,2015-09-01,,3248 W. Moreland,85009.0,urban-centre
040134021,Eastwood,33.41046,-112.00264,354.0,Arizona,Maricopa,Phoenix,COMMERCIAL,URBAN AND CENTER CITY,Maricopa County Air Quality,2021-03-05,,"4135 S 36th Street, Phoenix, AZ",,urban-centre
040135100,Fort McDowell/Yuma Frank,33.629246,-111.676928,435.23,Arizona,Maricopa,Fort McDowell,AGRICULTURAL,SUBURBAN,"Fort McDowell Yavapai Nation, AZ",2001-11-14,,"18791 Yuma Frank Road, Ft. McDowell, AZ",85264.0,urban-periphery
040137003,St Johns Air Monitoring Site,33.290229,-112.160597,326.0,Arizona,Maricopa,Not in a City,RESIDENTIAL,RURAL,"Gila River Indian Community of Gila River Indian Reservation, AZ",2003-03-24,,"4208 W. PECOS LAVEEN, AZ 85339 (GILA CROSSING NORTH ELEM SCH)",85339.0,rural
040137020,Senior Center Air Monitoring Station,33.488131,-111.855443,377.0,Arizona,Maricopa,Scottsdale,RESIDENTIAL,RURAL,"Salt River Pima-Maricopa Indian Community of Salt River Reservation, AZ",2004-05-01,,10844 EAST OSBORN ROAD SCOTTSDALE AZ 85256,85256.0,rural
040137021,Red Mountain Air Monitoring Station,33.507992,-111.755334,394.0,Arizona,Maricopa,Scottsdale,DESERT,RURAL,"Salt River Pima-Maricopa Indian Community of Salt River Reservation, AZ",2002-05-27,,"15115 BEELINE HIGHWAY, SCOTTSDALE, AZ 86256",85256.0,rural
040137022,Lehi Air Monitoring Station,33.474609,-111.805769,412.0,Arizona,Maricopa,Mesa,RESIDENTIAL,RURAL,"Salt River Pima-Maricopa Indian Community of Salt River Reservation, AZ",2003-05-01,,"3250 NORTH STAPLEY DRIVE, MESA, AZ 85203",85203.0,rural
040137024,High School Air Monitoring Station,33.508125,-111.83852,366.0,Arizona,Maricopa,Scottsdale,RESIDENTIAL,RURAL,"Salt River Pima-Maricopa Indian Community of Salt River Reservation, AZ",2006-03-30,,"4827 NORTH COUNTRY CLUB DRIVE, SCOTTSDALE, AZ 85256",85256.0,rural
040138005,ESTRELLA PM2.5 1 HOUR NEPH,33.383333,-112.372777,277.0,Arizona,Maricopa,Goodyear (Litchfield),RESIDENTIAL,RURAL,Arizona Department Of Environmental Quality,2004-01-01,,15099 W. CASEY ABBOTT RD,85338.0,rural
040139508,HUMBOLDT MOUNTAIN,33.9828,-111.79871,1582.0,Arizona,Maricopa,Not in a City,FOREST,RURAL,Maricopa County Air Quality,1995-08-01,,SEVEN SPRINGS RD-FAA RADAR STN-TONTO NF,199.0,rural
040139702,BLUE POINT-SHERIFF STATION-TONTO NF-SALT RIVER RECREATION AREA,33.54558,-111.60972,436.0,Arizona,Maricopa,Blue Point (District),DESERT,RURAL,Maricopa County Air Quality,1993-01-01,,USERY PASS RD/BUSH HWY,85264.0,rural
040139704,FOUNTAIN HILLS,33.61092,-111.72534,505.0,Arizona,Maricopa,Fountain Hills,RESIDENTIAL,SUBURBAN,Maricopa County Air Quality,1996-04-01,,"16426 E PALISADES BLVD,FOUNTAIN HILLS,AZ",85268.0,urban-periphery
040139812,DURANGO COMPLEX,33.4265,-112.11821,317.0,Arizona,Maricopa,Phoenix,COMMERCIAL,URBAN AND CENTER CITY,Maricopa County Air Quality,1999-07-01,,2702 RC ESTERBROOKS BLVD,85009.0,urban-centre
040139990,TEMPE COMMUNITY CENTER,33.39166,-111.926388,361.0,Arizona,Maricopa,Tempe,COMMERCIAL,SUBURBAN,Arizona Department Of Environmental Quality,1999-01-06,,3340 S RURAL RD,85282.0,urban-periphery
