site_id,site_name,latitude,longitude,altitude,area_classification
VA99,Natural Bridge Station,37.6265,-79.5126,282.0,rural
VI01,Virgin Islands National Park-Lind Point,18.3362,-64.7962,56.0,nan
VT01,Bennington,42.8761,-73.1633,305.0,rural
VT99,Underhill,44.5283,-72.8684,399.0,rural
WA04,Confederated Tribes Of The Umatilla Indian Reservation,46.2026,-117.9539,693.0,nan
WA14,Olympic National Park-Hoh Ranger Station,47.8597,-123.9325,182.0,rural-remote
WA15,Sullivan Lake,48.8433,-117.2839,796.0,rural-remote
WA19,North Cascades National Park-Marblemount Ranger Station,48.5403,-121.446,124.0,rural-remote
WA21,La Grande,46.8353,-122.2867,617.0,rural
WA24,Palouse Conservation Farm,46.7606,-117.1847,766.0,rural
WA98,Columbia River Gorge,45.5694,-122.21,233.0,rural
WA99,Mount Rainier National Park-Tahoma Woods,46.7582,-122.1243,424.0,rural-remote
WI06,Uw Arboretum,43.041,-89.428,265.0,urban
WI08,Brule River,46.7466,-91.6055,207.0,rural-remote
WI09,Popple River,45.7964,-88.3994,421.0,rural-remote
WI10,Potawatomi,45.5648,-88.8083,570.0,rural-remote
WI19,Marinette,45.0698,-87.629,172.0,nan
WI25,Suring,45.052,-88.3726,262.0,rural-remote
WI28,Lake Dubay,44.7073,-89.7716,385.0,rural
WI31,Devil'S Lake,43.4352,-89.6801,389.0,rural
WI32,Middle Village,44.9308,-88.755,319.0,rural-remote
WI35,Perkinstown,45.2064,-90.5978,472.0,rural-remote
WI36,Trout Lake,46.0512,-89.6541,509.0,rural-remote
WI37,Spooner,45.8228,-91.8744,331.0,rural
WI92,Chequamegon Bay,46.583,-90.9676,194.0,nan
WI97,Lac Courte Oreilles Reservation,45.9944,-91.3711,418.0,rural
WI98,Wildcat Mountain,43.7023,-90.5685,386.0,rural-remote
WI99,Lake Geneva,42.5792,-88.5006,288.0,rural
WV04,Babcock State Park,37.9796,-80.9525,753.0,rural
WV05,Cedar Creek State Park,38.8794,-80.8476,210.0,rural
WV18,Parsons,39.0897,-79.6622,505.0,rural-remote
WV99,Canaan Valley Institute,39.1191,-79.4522,988.0,rural-remote
WY00,Snowy Range,41.3762,-106.26,3269.0,rural-remote
WY02,Sinks Canyon,42.7336,-108.8498,2164.0,rural-remote
WY06,Pinedale,42.929,-109.7875,2388.0,rural-remote
WY08,Yellowstone National Park-Tower Falls,44.9166,-110.4203,1912.0,rural-remote
WY94,Grand Tetons National Park,43.8333,-110.7008,2105.0,rural-remote
WY95,Brooklyn Lake,41.3647,-106.2408,3181.0,rural-remote
WY96,Nash Fork,41.3403,-106.1908,2856.0,rural-remote
WY97,South Pass City,42.4944,-108.832,2524.0,rural-remote
WY98,Gypsum Creek,43.2227,-109.9917,2428.0,rural-remote
WY99,Newcastle,43.873,-104.1917,1466.0,rural-remote
